id,lclas,mlsfc,id_poi,poi_nm,branch_nm,sub_nm,mcate_cd,mcate_nm,pnu,sido_nm,sgg_nm,bemd_nm,ri_nm,beonji,badm_cd,hadm_cd,rd_cd,rd_nm,bld_num,x,y,grid_cd,lst_updt_dt,data_orgn,FILE_NAME,base_ymd
KCDPCPO25N000007900,장소,공원,272650,논현까치공원,,,50705,지역근린공원,1168010800101620011,서울특별시,강남구,논현동,,162-11,1168010800,1168052100,,,,127.0251272,37.5084969,다사580455,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007901,장소,공원,273299,옹기골어린이공원,,,50705,지역근린공원,4833010200104610001,경상남도,양산시,남부동,,461-1,4833010200,4833051000,,,,129.0371444,35.3390199,마마396059,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007902,장소,공원,273354,노루어린이공원,,,50705,지역근린공원,1159010700103160023,서울특별시,동작구,사당동,,316-23,1159010700,1159065000,115904157253.0,사당로20나길,25,126.9741644,37.4817914,다사535426,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007903,장소,공원,273468,칠성체육공원,,,50705,지역근린공원,4623025023102500000,전라남도,광양시,광양읍,칠성리,250,4623025023,4623025000,462304655501.0,칠성2길,25,127.5855294,34.9780272,라라078647,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007904,장소,공원,276436,남선공원,,,50705,지역근린공원,3017010600110840000,대전광역시,서구,탄방동,,1084,3017010600,3017055500,301703166014.0,남선로,66,127.3989148,36.3469331,다바909166,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007905,장소,공원,276545,인권숲,,,50705,지역근린공원,1114014200200040005,서울특별시,중구,예장동,,산4-5,1114014200,1114057000,111404103333.0,퇴계로26가길,6,126.9904109,37.5591614,다사549512,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007906,장소,공원,276669,남산체육공원,,,50705,지역근린공원,4790025025101760001,경상북도,예천군,예천읍,남본리,176-1,4790025025,4790025000,479003303047.0,중앙로,71-5,128.4564531,36.6535498,라바854510,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007907,장소,공원,276680,남산체육공원,,,50705,지역근린공원,3114010400201200001,울산광역시,남구,신정동,,산120-1,3114010400,3114052000,311403170047.0,은월로,74-21,129.2958663,35.5401767,마마628286,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007908,장소,공원,278413,암벽등반공원,,,50705,지역근린공원,1120010800102690004,서울특별시,성동구,응봉동,,269-4,1120010800,1120058000,112004109106.0,독서당로60길,13-1,127.0307647,37.5483977,다사585499,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007909,장소,공원,278516,화봉제2근린공원,,,50705,지역근린공원,3120012200103780000,울산광역시,북구,연암동,,378,3120012200,3120056000,312004316079.0,두부곡1길,9,129.3678757,35.5844762,마마692336,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007910,장소,공원,278518,화봉6공원,,,50705,지역근린공원,3120012200103790005,울산광역시,북구,연암동,,379-5,3120012200,3120056000,,,,129.365913,35.5830667,마마690334,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007911,장소,공원,279695,연수공원,,,50705,지역근린공원,4313011800108870000,충청북도,충주시,연수동,,887,4313011800,4313063000,,,,127.9294553,36.9880863,라바382878,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007912,장소,공원,279753,성산일출해양도립공원,,,50705,지역근린공원,5013025921101140000,제주특별자치도,서귀포시,성산읍,성산리,114,5013025921,5013025900,501303350244.0,일출로,284-12,126.9363327,33.4618466,다나476968,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007913,장소,공원,281085,역삼소나무공원,,,50705,지역근린공원,1168010100108360021,서울특별시,강남구,역삼동,,836-21,1168010100,1168064000,,,,127.0336228,37.4909518,다사587436,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007914,장소,공원,281161,역마을어린이공원,,,50705,지역근린공원,1138010800100390002,서울특별시,은평구,역촌동,,39-2,1138010800,1138062500,113804133280.0,진흥로1길,9,126.9185213,37.6011166,다사486559,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007915,장소,공원,289306,언구비공원,,,50705,지역근린공원,1165010700107200000,서울특별시,서초구,반포동,,720,1165010700,1165056000,,,,127.0201457,37.5089078,다사575456,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007916,장소,공원,290369,신사목련공원,,,50705,지역근린공원,1168010700105670037,서울특별시,강남구,신사동,,567-37,1168010700,1168051000,,,,127.0258411,37.5229146,다사581471,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007917,장소,공원,290376,아랫말어린이공원,,,50706,어린이놀이터,1147010100109900001,서울특별시,양천구,신정동,,990-1,1147010100,1147065000,,,,126.8618102,37.5250498,다사436474,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007918,장소,공원,290516,세류2동공원,,,50705,지역근린공원,4111312600104630001,경기도,수원시권선구,세류동,,463-1,4111312600,4111353000,411133175035.0,수원천로,24,127.0098107,37.2575006,다사565177,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007919,장소,공원,294000,양남어린이공원,,,50706,어린이놀이터,1156012500102050000,서울특별시,영등포구,양평동1가,,205,1156012500,1156061000,115604154436.0,선유로23길,18,126.8882176,37.5233557,다사459472,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007920,장소,공원,296556,속리산국립공원,,,50701,국립공원,4725042025200390001,경상북도,상주시,화북면,중벌리,산39-1,4725042025,4725042000,,,,127.8574984,36.5860192,라바319431,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007921,장소,공원,301264,쉼터어린이공원,,,50705,지역근린공원,1123010500109520005,서울특별시,동대문구,답십리동,,952-5,1123010500,1123061000,112304115675.0,황물로17길,24,127.0595547,37.5648503,다사611518,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007922,장소,공원,301751,안골어린이공원,,,50705,지역근린공원,1123010600104020000,서울특별시,동대문구,장안동,,402,1123010600,1123065000,112304115565.0,천호대로77다길,20,127.0642564,37.5653194,다사615518,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007923,장소,공원,452828,금남로공원,,,50705,지역근린공원,2911013300100200002,광주광역시,동구,금남로3가,,20-2,2911013300,2911052500,,,,126.9154706,35.1497644,다라467839,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007924,장소,공원,4851033,동춘당공원,,,50705,지역근린공원,3023010700101920000,대전광역시,대덕구,송촌동,,192,3023010700,3023054300,302303168007.0,동춘당로,80,127.441703,36.3656438,다바947186,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
KCDPCPO25N000007925,장소,공원,4851061,바우배기공원,,,50705,지역근린공원,3023010800102800001,대전광역시,대덕구,법동,,280-1,3023010800,3023060000,,,,127.4246532,36.3723274,다바932194,20251027,맵퍼스,KC_498_DMSTC_MCST_PBL_CT_PARK_2025,20250822
